               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10965,            0.019972,            0.027629,          0.00040064,            0.071429,          0.00041037,          6.6089e-05,            0.070983,            0.011019,            0.018118,                   0,                   0,                 0.1
                   1,              0.1109,            0.020534,            0.027406,          0.00040064,            0.071429,          0.00040704,          4.0704e-05,            0.069975,            0.011049,            0.018109,               1e-05,               1e-05,             0.09991
                   2,             0.10867,            0.018561,            0.027642,          0.00040064,            0.071429,          0.00033925,          3.3925e-05,            0.069969,             0.01105,            0.018111,               2e-05,               2e-05,             0.09982
                   3,             0.10709,            0.021136,            0.027735,          0.00040064,            0.071429,          0.00025187,          3.6476e-05,            0.068623,            0.011095,            0.018086,          2.9999e-05,          2.9999e-05,             0.09973
                   4,             0.10271,            0.020309,            0.027326,          0.00020032,            0.035714,          0.00011405,          1.1405e-05,            0.067146,            0.011128,            0.018052,          3.9999e-05,          3.9999e-05,             0.09964
                   5,             0.10213,            0.020723,            0.027497,          0.00020032,            0.035714,          0.00010967,          1.0967e-05,            0.067137,            0.011125,            0.018053,          4.9998e-05,          4.9998e-05,             0.09955
                   6,             0.10259,            0.021602,            0.027315,          0.00020032,            0.035714,          0.00011303,          1.1303e-05,            0.065967,            0.011122,            0.018018,          5.9996e-05,          5.9996e-05,             0.09946
                   7,             0.10111,            0.022552,            0.027491,           0.0012755,             0.32692,          0.00091326,          0.00014384,             0.06527,            0.011061,            0.017979,          6.9993e-05,          6.9993e-05,             0.09937
                   8,            0.097139,            0.022498,            0.027386,          0.00074405,                0.25,             0.00057,           6.272e-05,            0.064738,            0.010982,            0.017938,           7.999e-05,           7.999e-05,             0.09928
                   9,            0.096601,            0.023626,            0.027772,          0.00053146,             0.17857,          0.00038779,          3.8779e-05,            0.064619,            0.010856,            0.017898,          8.9986e-05,          8.9986e-05,             0.09919
                  10,            0.091207,            0.024186,             0.02682,          0.00031888,             0.10714,          0.00020475,          2.0475e-05,            0.064604,            0.010729,            0.017858,           9.998e-05,           9.998e-05,              0.0991
                  11,            0.091542,            0.024135,            0.026886,          0.00014172,            0.035714,            7.71e-05,           1.542e-05,            0.064713,            0.010594,            0.017818,          0.00010997,          0.00010997,             0.09901
                  12,             0.08894,            0.025113,            0.026582,          0.00014269,            0.035714,          7.6802e-05,           1.536e-05,             0.06494,            0.010461,             0.01778,          0.00011997,          0.00011997,             0.09892
                  13,            0.089137,            0.022693,            0.026699,          0.00014172,            0.035714,          7.9306e-05,          7.9306e-06,            0.064812,             0.01037,            0.017741,          0.00012996,          0.00012996,             0.09883
                  14,            0.087208,             0.02136,            0.026275,          0.00014172,            0.035714,          7.9306e-05,          7.9306e-06,            0.064838,            0.010268,            0.017703,          0.00013995,          0.00013995,             0.09874
                  15,            0.088337,            0.024832,             0.02575,          0.00014172,            0.035714,           7.937e-05,           7.937e-06,            0.064828,            0.010186,            0.017666,          0.00014993,          0.00014993,             0.09865
                  16,            0.087446,            0.022726,            0.026059,          0.00014172,            0.035714,          8.0092e-05,          8.0092e-06,            0.064764,            0.010115,             0.01763,          0.00015992,          0.00015992,             0.09856
